,NO2,PM10,O3_max,O3_8h,SO2,CO
2013-01-01,63.0,M,43,36,,2.5
2013-01-02,51.0,M,49,43,,2.5
2013-01-03,,M,38,33,,2
2013-01-04,48.0,M,37,25,,1.5
2013-01-05,49.0,M,38,32,,2
2013-01-06,55.0,M,90,53,,2
2013-01-07,45.0,M,92,85,,2.8
2013-01-08,65.0,M,96,71,,2.5
2013-01-09,50.0,M,34,28,,1.4
2013-01-10,57.0,M,35,31,,1.9
2013-01-11,55.0,M,23,21,,1.1
2013-01-12,63.0,M,40,31,,1.2
2013-01-13,50.0,M,38,34,,1.6
2013-01-14,34.0,M,59,56,,1.4
2013-01-15,47.0,M,62,58,,0.9
2013-01-16,38.0,M,50,38,,1
2013-01-17,19.0,M,75,67,,0.5
2013-01-18,57.0,M,59,58,,1.1
2013-01-19,54.0,M,51,38,,1
2013-01-20,45.0,M,50,40,,1.6
2013-01-21,44.0,M,51,48,,1.1
2013-01-22,45.0,M,25,22,,1.1
2013-01-23,59.0,M,47,35,,1
2013-01-24,52.0,M,62,51,,1.3
2013-01-25,65.0,M,57,38,,1.3
2013-01-26,46.0,M,65,56,,1.5
2013-01-27,59.0,M,68,57,,1.4
2013-01-28,65.0,M,80,61,,1.9
2013-01-29,66.0,M,63,45,,1.6
2013-01-30,65.0,M,35,24,,1.2
2013-01-31,58.0,M,40,31,,1
2013-02-01,58.0,M,44,32,,1
2013-02-02,52.0,M,34,26,,1
2013-02-03,47.0,M,64,54,,1
2013-02-04,50.0,M,74,61,,0.8
2013-02-05,73.0,M,56,43,,1.1
2013-02-06,55.0,M,42,27,,1.3
2013-02-07,52.0,M,60,46,,1.2
2013-02-08,61.0,M,61,47,,1
2013-02-09,79.0,M,55,44,,1.5
2013-02-10,42.0,M,59,51,,1.3
2013-02-11,43.0,M,74,60,,0.8
2013-02-12,41.0,M,72,67,,1.1
2013-02-13,69.0,M,70,70,,1.5
2013-02-14,81.0,M,66,44,,1.8
2013-02-15,66.0,M,72,54,,1.5
2013-02-16,77.0,M,70,61,,1.5
2013-02-17,75.0,M,86,72,,1.5
2013-02-18,36.0,M,83,76,,1.1
2013-02-19,61.0,M,89,77,,0.9
2013-02-20,65.0,M,82,73,,1.1
2013-02-21,72.0,M,79,67,,0.9
2013-02-22,20.0,M,72,67,,0.7
2013-02-23,59.0,M,74,67,,0.8
2013-02-24,29.0,M,83,74,,0.8
2013-02-25,22.0,M,84,82,,0.5
2013-02-26,59.0,M,90,78,,0.7
2013-02-27,76.0,M,81,67,,1.1
2013-02-28,54.0,M,62,39,,1.5
2013-03-01,75.0,M,71,59,,0.9
2013-03-02,63.0,M,74,60,,1.5
2013-03-03,46.0,M,88,73,,1.3
2013-03-04,68.0,M,108,94,,1.3
2013-03-05,70.0,M,92,78,,1.6
2013-03-06,71.0,M,87,77,,1.2
2013-03-07,29.0,M,72,68,,0.6
2013-03-08,54.0,M,63,53,,0.5
2013-03-09,42.0,M,40,27,,0.7
2013-03-10,38.0,M,23,20,,0.8
2013-03-11,30.0,M,71,60,,0.8
2013-03-12,56.0,M,71,61,,0.5
2013-03-13,30.0,M,82,76,,0.5
2013-03-14,27.0,M,80,70,,0.4
2013-03-15,43.0,M,73,65,,0.4
2013-03-16,47.0,M,85,81,,0.5
2013-03-17,21.0,M,97,92,,0.5
2013-03-18,21.0,M,104,100,,0.6
2013-03-19,48.0,M,102,102,,0.5
2013-03-20,49.0,M,77,66,,0.6
2013-03-21,35.0,M,90,77,,0.8
2013-03-22,49.0,M,95,77,,0.6
2013-03-23,63.0,M,107,97,,0.6
2013-03-24,45.0,M,120,96,,0.9
2013-03-25,11.0,M,86,85,,0.5
2013-03-26,23.0,M,82,80,,0.4
2013-03-27,50.0,M,81,73,,0.6
2013-03-28,51.0,M,101,89,,0.6
2013-03-29,40.0,M,83,78,,0.8
2013-03-30,39.0,M,66,69,,0.6
2013-03-31,34.0,M,81,72,,0.8
2013-04-01,16.0,M,91,85,,0.4
2013-04-02,15.0,M,109,104,,0.5
2013-04-03,15.0,M,102,97,,0.5
2013-04-04,28.0,M,103,94,,0.4
2013-04-05,24.0,M,100,90,,0.5
2013-04-06,28.0,M,103,91,,0.4
2013-04-07,28.0,M,104,91,,0.5
2013-04-08,11.0,M,98,93,,0.5
2013-04-09,22.0,M,91,86,,0.5
2013-04-10,36.0,M,89,86,,0.5
2013-04-11,37.0,M,101,93,,0.5
2013-04-12,29.0,M,109,93,,0.5
2013-04-13,35.0,M,89,77,,0.5
2013-04-14,34.0,M,112,104,,0.5
2013-04-15,34.0,M,120,113,,0.5
2013-04-16,40.0,M,119,110,,0.5
2013-04-17,43.0,M,110,100,,0.5
2013-04-18,50.0,M,135,120,,0.5
2013-04-19,37.0,M,139,129,,0.7
2013-04-20,44.0,M,154,127,,0.5
2013-04-21,21.0,M,107,105,,0.4
2013-04-22,11.0,M,120,113,,0.3
2013-04-23,25.0,M,101,96,,0.4
2013-04-24,36.0,M,113,97,,0.5
2013-04-25,,M,122,,,0.4
2013-04-26,35.0,M,144,120,,0.4
2013-04-27,31.0,M,99,85,,0.4
2013-04-28,24.0,M,61,57,,0.4
2013-04-29,17.0,M,86,80,,0.3
2013-04-30,38.0,M,78,65,,0.3
2013-05-01,44.0,M,43,31,,0.3
2013-05-02,27.0,M,113,99,,0.4
2013-05-03,29.0,M,73,76,,0.4
2013-05-04,28.0,M,76,66,,0.4
2013-05-05,28.0,M,116,104,,0.4
2013-05-06,22.0,M,88,80,,0.4
2013-05-07,26.0,M,71,66,,0.3
2013-05-08,27.0,M,80,64,,0.3
2013-05-09,37.0,M,104,92,,0.3
2013-05-10,37.0,M,148,134,,0.3
2013-05-11,29.0,M,99,79,,0.4
2013-05-12,15.0,M,91,78,,0.3
2013-05-13,15.0,M,113,104,,0.3
2013-05-14,38.0,M,114,107,,0.3
2013-05-15,39.0,M,125,117,,0.3
2013-05-16,25.0,M,126,118,,0.3
2013-05-17,13.0,M,108,96,,0.2
2013-05-18,31.0,M,94,99,,0.3
2013-05-19,18.0,M,123,113,,0.3
2013-05-20,16.0,M,112,100,,0.2
2013-05-21,23.0,M,124,114,,0.2
2013-05-22,19.0,M,121,116,,0.2
2013-05-23,29.0,M,131,122,,0.3
2013-05-24,26.0,M,99,86,,0.3
2013-05-25,15.0,M,96,91,,0.3
2013-05-26,14.0,M,102,95,,0.3
2013-05-27,14.0,M,125,115,,0.3
2013-05-28,28.0,M,127,119,,0.3
2013-05-29,25.0,M,93,98,,0.3
2013-05-30,16.0,M,117,107,,0.3
2013-05-31,27.0,M,79,84,,0.2
2013-06-01,28.0,M,56,50,,0.3
2013-06-02,27.0,M,106,96,,0.3
2013-06-03,20.0,M,102,87,,0.4
2013-06-04,28.0,M,117,106,,0.3
2013-06-05,48.0,M,135,123,,0.3
2013-06-06,20.0,M,134,120,,0.3
2013-06-07,28.0,M,141,125,,0.3
2013-06-08,62.0,M,154,139,,0.3
2013-06-09,31.0,M,167,157,,0.3
2013-06-10,23.0,M,142,129,,0.3
2013-06-11,24.0,M,116,111,,0.3
2013-06-12,48.0,M,143,125,,0.3
2013-06-13,55.0,M,156,,,
2013-06-14,39.0,M,163,155,,0.3
2013-06-15,50.0,M,198,183,,0.3
2013-06-16,48.0,M,211,181,,0.4
2013-06-17,29.0,M,173,161,,0.3
2013-06-18,39.0,M,191,170,,0.3
2013-06-19,40.0,M,232,191,,0.4
2013-06-20,44.0,M,190,174,,0.4
2013-06-21,41.0,M,181,158,,0.4
2013-06-22,,M,148,,,0.4
2013-06-23,,M,165,149,,0.3
2013-06-24,,M,161,155,,0.2
2013-06-25,29.0,M,91,101,,0.2
2013-06-26,28.0,M,110,93,,0.2
2013-06-27,28.0,M,109,96,,0.2
2013-06-28,28.0,M,111,104,,0.2
2013-06-29,38.0,M,125,116,,0.2
2013-06-30,65.0,M,129,114,,0.2
2013-07-01,56.0,M,160,146,,0.3
2013-07-02,61.0,M,139,125,,0.3
2013-07-03,56.0,M,152,136,,0.3
2013-07-04,56.0,M,164,148,,0.4
2013-07-05,50.0,M,136,127,,0.4
2013-07-06,67.0,M,187,165,,0.3
2013-07-07,55.0,M,160,137,,0.3
2013-07-08,54.0,M,144,139,,0.3
2013-07-09,68.0,M,140,135,,0.3
2013-07-10,55.0,M,204,176,,0.4
2013-07-11,58.0,M,169,154,,0.4
2013-07-12,52.0,M,199,180,,0.3
2013-07-13,48.0,M,173,156,,0.3
2013-07-14,50.0,M,175,157,,0.3
2013-07-15,54.0,M,155,147,,0.3
2013-07-16,66.0,M,185,168,,0.3
2013-07-17,69.0,M,167,148,,0.4
2013-07-18,74.0,M,193,170,,0.4
2013-07-19,66.0,M,169,146,,0.4
2013-07-20,82.0,M,185,171,,0.4
2013-07-21,82.0,M,198,180,,0.5
2013-07-22,63.0,M,170,155,,0.5
2013-07-23,80.0,M,182,168,,0.4
2013-07-24,65.0,M,200,183,,0.4
2013-07-25,46.0,M,225,187,,0.4
2013-07-26,53.0,M,241,210,,0.4
2013-07-27,48.0,M,224,205,,0.4
2013-07-28,47.0,M,214,193,,0.4
2013-07-29,41.0,M,194,181,,0.4
2013-07-30,27.0,M,117,105,,0.4
2013-07-31,46.0,M,137,124,,0.4
2013-08-01,52.0,M,179,156,,0.4
2013-08-02,62.0,M,179,166,,0.4
2013-08-03,71.0,M,198,172,,0.5
2013-08-04,55.0,M,241,219,,0.5
2013-08-05,60.0,M,216,201,,0.5
2013-08-06,59.0,M,218,194,,0.4
2013-08-07,58.0,M,262,228,,0.5
2013-08-08,61.0,M,195,166,,0.4
2013-08-09,,M,150,135,,0.3
2013-08-10,,M,155,120,,0.4
2013-08-11,85.0,M,118,104,,0.4
2013-08-12,81.0,M,153,140,,0.4
2013-08-13,66.0,M,193,161,,0.4
2013-08-14,59.0,M,189,173,,0.4
2013-08-15,35.0,M,105,122,,0.3
2013-08-16,50.0,M,132,122,,0.3
2013-08-17,59.0,M,152,135,,0.4
2013-08-18,62.0,M,161,151,,0.4
2013-08-19,65.0,M,181,163,,0.4
2013-08-20,50.0,M,182,163,,0.4
2013-08-21,32.0,M,82,106,,0.3
2013-08-22,53.0,M,135,126,,0.3
2013-08-23,49.0,M,149,138,,0.3
2013-08-24,45.0,M,152,138,,0.4
2013-08-25,41.0,M,169,149,,0.4
2013-08-26,16.0,M,132,124,,0.3
2013-08-27,28.0,M,112,98,,0.3
2013-08-28,25.0,M,122,111,,0.3
2013-08-29,33.0,M,126,117,,0.4
2013-08-30,37.0,M,105,97,,0.4
2013-08-31,34.0,M,125,115,,0.3
2013-09-01,43.0,M,151,138,,0.4
2013-09-02,35.0,M,144,125,,0.4
2013-09-03,34.0,M,127,112,,0.3
2013-09-04,38.0,M,145,130,,0.4
2013-09-05,32.0,M,140,125,,0.4
2013-09-06,34.0,M,157,143,,0.4
2013-09-07,33.0,M,129,116,,0.4
2013-09-08,37.0,M,148,124,,0.4
2013-09-09,33.0,M,137,123,,0.4
2013-09-10,28.0,M,116,105,,0.4
2013-09-11,19.0,M,106,92,,0.4
2013-09-12,25.0,M,86,75,,0.3
2013-09-13,42.0,M,118,94,,0.2
2013-09-14,54.0,M,109,88,,0.3
2013-09-15,34.0,M,137,119,,0.3
2013-09-16,28.0,M,131,115,,0.4
2013-09-17,25.0,M,103,90,,0.3
2013-09-18,34.0,M,97,89,,0.3
2013-09-19,39.0,M,60,57,,0.4
2013-09-20,42.0,M,122,105,,0.5
2013-09-21,29.0,M,96,86,,0.3
2013-09-22,41.0,M,122,105,,0.3
2013-09-23,31.0,M,101,91,,0.3
2013-09-24,39.0,M,140,112,,0.3
2013-09-25,49.0,M,138,118,,0.3
2013-09-26,58.0,M,146,122,,0.4
2013-09-27,43.0,M,136,113,,0.3
2013-09-28,25.0,M,118,104,,0.3
2013-09-29,30.0,M,113,98,,0.4
2013-09-30,18.0,M,83,72,,0.4
2013-10-01,24.0,M,67,60,,0.3
2013-10-02,25.0,M,80,72,,0.3
2013-10-03,30.0,M,95,80,,0.3
2013-10-04,45.0,M,70,64,,0.3
2013-10-05,47.0,M,64,57,,0.4
2013-10-06,37.0,M,67,59,,0.4
2013-10-07,24.0,M,59,49,,0.5
2013-10-08,37.0,M,62,38,,0.5
2013-10-09,28.0,M,81,64,,0.5
2013-10-10,45.0,M,92,86,,0.4
2013-10-11,41.0,M,45,,,0.5
2013-10-12,52.0,M,86,79,,0.4
2013-10-13,39.0,M,98,78,,0.4
2013-10-14,37.0,M,99,85,,0.5
2013-10-15,41.0,M,53,45,,0.6
2013-10-16,45.0,M,64,47,,0.7
2013-10-17,63.0,M,56,45,,0.7
2013-10-18,61.0,M,110,89,,0.7
2013-10-19,53.0,M,111,79,,0.6
2013-10-20,51.0,M,113,89,,0.8
2013-10-21,32.0,M,83,71,,0.9
2013-10-22,44.0,M,88,68,,0.6
